LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.325, Time: 4.692282 s
         1520114 function calls (1504981 primitive calls) in 5.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
      281    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.010    0.010 quiver.py:1(<module>)
3276/2866    0.003    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFDAC3F8F90}
       28    0.001    0.000    0.009    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.009    0.009 backend_bases.py:1339(LocationEvent)
        1    0.000    0.000    0.009    0.009 __init__.py:253(_check_versions)
        1    0.000    0.000    0.009    0.009 helpers.py:1(<module>)
        1    0.000    0.000    0.009    0.009 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
        1    0.000    0.000    0.009    0.009 cm.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
        1    0.000    0.000    0.009    0.009 secrets.py:1(<module>)
      588    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:392(cached)
       18    0.000    0.000    0.008    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.008    0.008 legend.py:1(<module>)
        1    0.000    0.000    0.008    0.008 common.py:1(<module>)
        1    0.000    0.000    0.008    0.008 font_manager.py:1564(_load_fontmanager)
      307    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        5    0.000    0.000    0.008    0.002 __init__.py:108(import_module)
        5    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.000    0.000    0.008    0.008 overrides.py:1(<module>)
        1    0.000    0.000    0.008    0.008 common.py:8(pyparsing_common)
        1    0.000    0.000    0.007    0.007 font_manager.py:970(json_load)
       48    0.000    0.000    0.007    0.000 __init__.py:1360(_add_data_doc)
        1    0.000    0.000    0.007    0.007 ticker.py:1(<module>)
       51    0.003    0.000    0.007    0.000 linalg.py:1193(eig)
        1    0.000    0.000    0.007    0.007 __init__.py:274(load)
   104/92    0.000    0.000    0.007    0.000 typing.py:479(__getitem__)
        3    0.000    0.000    0.007    0.002 patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.007    0.001 patches.py:2253(pprint_styles)
       92    0.000    0.000    0.007    0.000 typing.py:658(Union)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
     6630    0.004    0.000    0.007    0.000 enum.py:686(__call__)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
        1    0.000    0.000    0.007    0.007 table.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
      410    0.004    0.000    0.006    0.000 enum.py:242(__set_name__)
        2    0.000    0.000    0.006    0.003 __init__.py:299(loads)
        2    0.000    0.000    0.006    0.003 decoder.py:332(decode)
        2    0.002    0.001    0.006    0.003 decoder.py:343(raw_decode)
      252    0.001    0.000    0.006    0.000 typing.py:1353(__init__)
        6    0.000    0.000    0.006    0.001 patches.py:2257(<listcomp>)
     8892    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
       53    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.006    0.006 utils.py:1(<module>)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tz.py:1(<module>)
       12    0.000    0.000    0.006    0.000 core.py:1132(parse_string)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.005    0.005 transforms.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _secondary_axes.py:1(<module>)
      100    0.004    0.000    0.005    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.005    0.005 mathtext.py:1(<module>)
    11315    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
      409    0.001    0.000    0.005    0.000 rcsetup.py:307(validate_color)
       10    0.000    0.000    0.005    0.001 core.py:5706(__init__)
     30/9    0.000    0.000    0.005    0.001 core.py:4577(leave_whitespace)
        1    0.000    0.000    0.005    0.005 cbook.py:1(<module>)
      212    0.001    0.000    0.005    0.000 _compiler.py:509(_compile_info)
      338    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
     7318    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
       13    0.000    0.000    0.005    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.005    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        5    0.000    0.000    0.005    0.001 _version.py:1(<module>)
      754    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.005    0.005 ImagePalette.py:1(<module>)
    36949    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      777    0.002    0.000    0.005    0.000 font_manager.py:928(_json_decode)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
        3    0.000    0.000    0.005    0.002 exceptions.py:1(<module>)
        1    0.000    0.000    0.005    0.005 backend_tools.py:1(<module>)
       32    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
     7592    0.003    0.000    0.004    0.000 _parser.py:164(__getitem__)
      615    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      461    0.001    0.000    0.004    0.000 core.py:522(copy)
       35    0.002    0.000    0.004    0.000 __init__.py:350(namedtuple)
      111    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
   306/12    0.001    0.000    0.004    0.000 core.py:809(_parseNoCache)
        1    0.000    0.000    0.004    0.004 platform.py:1(<module>)
    72/12    0.000    0.000    0.004    0.000 core.py:4034(parseImpl)
     2674    0.003    0.000    0.004    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
      412    0.000    0.000    0.004    0.000 colors.py:221(is_color_like)
      307    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
     5140    0.002    0.000    0.004    0.000 _parser.py:254(get)
      521    0.000    0.000    0.004    0.000 {built-in method builtins.next}
      752    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
   133/64    0.000    0.000    0.004    0.000 core.py:3880(copy)
      461    0.001    0.000    0.004    0.000 copy.py:66(copy)
      497    0.002    0.000    0.004    0.000 enum.py:365(__setitem__)
     62/9    0.000    0.000    0.004    0.000 core.py:3788(leave_whitespace)
       60    0.000    0.000    0.004    0.000 __init__.py:842(_open_file_or_url)
       32    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.004    0.004 _mathtext.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      534    0.001    0.000    0.004    0.000 typing.py:168(_type_check)
       11    0.000    0.000    0.004    0.000 util.py:251(_inner)
 1307/432    0.003    0.000    0.004    0.000 _parser.py:174(getwidth)
       50    0.004    0.000    0.004    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
      438    0.001    0.000    0.004    0.000 colors.py:268(to_rgba)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _tricontour.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
      241    0.000    0.000    0.003    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      356    0.001    0.000    0.003    0.000 inspect.py:786(_finddoc)
       35    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
       32    0.000    0.000    0.003    0.000 colors.py:1036(from_list)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
       13    0.000    0.000    0.003    0.000 typing.py:2874(__new__)
   133/64    0.000    0.000    0.003    0.000 core.py:3883(<listcomp>)
       18    0.000    0.000    0.003    0.000 rcsetup.py:662(cycler)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
     2692    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.003    0.003 core.py:394(ParserElement)
     1229    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 version.py:159(Version)
    45/12    0.000    0.000    0.003    0.000 typing.py:1380(__getitem__)
      307    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      562    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      414    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       53    0.000    0.000    0.003    0.000 util.py:284(<lambda>)
        1    0.000    0.000    0.003    0.003 widgets.py:1(<module>)
       62    0.000    0.000    0.003    0.000 core.py:3796(<listcomp>)
       53    0.000    0.000    0.003    0.000 util.py:240(_make_synonym_function)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
    31450    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
        7    0.000    0.000    0.003    0.000 core.py:2810(__init__)
       13    0.000    0.000    0.003    0.000 typing.py:2855(_make_nmtuple)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.003    0.003 dates.py:1(<module>)
      164    0.002    0.000    0.003    0.000 _compiler.py:241(_optimize_charset)
       32    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
     1229    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     1946    0.001    0.000    0.003    0.000 typing.py:1297(__setattr__)
        1    0.000    0.000    0.003    0.003 glob.py:1(<module>)
        1    0.000    0.000    0.003    0.003 units.py:1(<module>)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
       33    0.003    0.000    0.003    0.000 {built-in method io.open}
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
     6180    0.003    0.000    0.003    0.000 _parser.py:233(__next)
        1    0.000    0.000    0.003    0.003 axes3d.py:42(Axes3D)
       33    0.000    0.000    0.003    0.000 contextlib.py:132(__enter__)
 1651/187    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
       22    0.000    0.000    0.002    0.000 core.py:4989(parseImpl)
 1651/187    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.002    0.002 _afm.py:1(<module>)
    11247    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      169    0.001    0.000    0.002    0.000 colors.py:310(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 layout_engine.py:1(<module>)
      404    0.000    0.000    0.002    0.000 typing.py:694(<genexpr>)
       70    0.000    0.000    0.002    0.000 deprecation.py:257(rename_parameter)
    11418    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      768    0.001    0.000    0.002    0.000 inspect.py:735(unwrap)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
       12    0.000    0.000    0.002    0.000 _docstring.py:57(<listcomp>)
        1    0.000    0.000    0.002    0.002 twodim_base.py:1(<module>)
      752    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
      151    0.001    0.000    0.002    0.000 fromnumeric.py:71(_wrapreduction)
      103    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.002    0.001 core.py:5996(srange)
        1    0.000    0.000    0.002    0.002 ExifTags.py:20(Base)
      256    0.001    0.000    0.002    0.000 typing.py:247(_collect_parameters)
        1    0.000    0.000    0.002    0.002 figure.py:181(FigureBase)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
      631    0.001    0.000    0.002    0.000 {built-in method builtins.max}
       32    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
       39    0.000    0.000    0.002    0.000 typing.py:485(__getitem__)
      281    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       26    0.000    0.000    0.002    0.000 deprecation.py:416(make_keyword_only)
      253    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1412(_determine_new_args)
        3    0.000    0.000    0.002    0.001 _common.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1441(_make_substitution)
       39    0.000    0.000    0.002    0.000 typing.py:708(Literal)
     4420    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      424    0.001    0.000    0.002    0.000 enum.py:1509(__and__)
      752    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
     6628    0.002    0.000    0.002    0.000 enum.py:1091(__new__)
      448    0.000    0.000    0.002    0.000 __init__.py:178(sub)
      689    0.001    0.000    0.002    0.000 inspect.py:167(get_annotations)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
 3538/834    0.002    0.000    0.002    0.000 __init__.py:353(recursive_subclasses)
      136    0.000    0.000    0.002    0.000 inspect.py:3040(replace)
    38/18    0.000    0.000    0.002    0.000 core.py:4566(parseImpl)
      512    0.000    0.000    0.002    0.000 __init__.py:163(match)
      356    0.001    0.000    0.002    0.000 inspect.py:776(_findclass)
       66    0.000    0.000    0.002    0.000 core.py:1410(__add__)
       63    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:6133(<listcomp>)
  269/169    0.000    0.000    0.002    0.000 core.py:1899(name)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      775    0.001    0.000    0.002    0.000 <frozen ntpath>:87(isabs)
        1    0.000    0.000    0.002    0.002 win.py:1(<module>)
      252    0.000    0.000    0.002    0.000 typing.py:1258(__init__)
       67    0.000    0.000    0.002    0.000 colors.py:1089(reversed)
     9493    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
    10876    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     4863    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      339    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
  214/116    0.000    0.000    0.002    0.000 core.py:1872(default_name)
     2280    0.001    0.000    0.002    0.000 typing.py:1245(_is_dunder)
     2982    0.001    0.000    0.002    0.000 inspect.py:3019(<genexpr>)
        1    0.001    0.001    0.002    0.002 _base.py:542(_AxesBase)
      461    0.001    0.000    0.002    0.000 copy.py:259(_reconstruct)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
   256/18    0.000    0.000    0.002    0.000 ast.py:414(visit)
    26/14    0.000    0.000    0.002    0.000 core.py:4287(parseImpl)
       28    0.001    0.000    0.002    0.000 functools.py:518(decorating_function)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
   256/18    0.001    0.000    0.002    0.000 ast.py:420(generic_visit)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:2979(prod)
       33    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
       67    0.000    0.000    0.001    0.000 colors.py:1108(<dictcomp>)
      220    0.000    0.000    0.001    0.000 _parser.py:94(closegroup)
     22/3    0.000    0.000    0.001    0.000 core.py:3983(streamline)
       51    0.001    0.000    0.001    0.000 shape_base.py:219(vstack)
       51    0.000    0.000    0.001    0.000 linalg.py:215(_assert_finite)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1379(make_dataclass)
      337    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
     78/4    0.000    0.000    0.001    0.000 core.py:962(_parseCache)
      843    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       67    0.000    0.000    0.001    0.000 core.py:3948(__init__)
2254/2084    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      656    0.000    0.000    0.001    0.000 typing.py:159(_type_convert)
     2583    0.001    0.000    0.001    0.000 _parser.py:172(append)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       44    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
     6078    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      601    0.001    0.000    0.001    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.001    0.001 helpers.py:599(make_html_tags)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
     30/4    0.000    0.000    0.001    0.000 core.py:3828(streamline)
        1    0.000    0.000    0.001    0.001 helpers.py:541(_makeTags)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
       20    0.000    0.000    0.001    0.000 core.py:5100(parseImpl)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1202(dataclass)
       32    0.000    0.000    0.001    0.000 colors.py:409(to_rgba_array)
        2    0.000    0.000    0.001    0.001 dataclasses.py:1219(wrap)
        1    0.000    0.000    0.001    0.001 LebwohlLasher.py:94(savedat)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        2    0.000    0.000    0.001    0.001 dataclasses.py:884(_process_class)
       22    0.000    0.000    0.001    0.000 core.py:5233(parseImpl)
